OBJIDsic,Region_unique,yearGDP,GDPpcRegion
505,ZWE_Zimbabwe_505,2010,723.20
1359,ZWE_Western_region_1359,2005,323.26
1358,ZWE_Southern_region_1358,2005,323.26
1357,ZWE_Northern_region_1357,2005,323.26
1356,ZWE_Eastern_region_1356,2005,323.26
1355,ZWE_Central_region_1355,2005,323.26
503,ZMB_Zambia_503,2005,1066.64
1354,ZMB_Western_1354,2005,1066.64
1353,ZMB_Southern_1353,2005,1066.64
1351,ZMB_Northern_1351,2005,1066.64
1352,ZMB_North_Western_1352,2005,1066.64
1350,ZMB_Lusaka_1350,2005,1066.64
1349,ZMB_Luapula_1349,2005,1066.64
1348,ZMB_Eastern_1348,2005,1066.64
1347,ZMB_Copperbelt_1347,2005,1066.64
1346,ZMB_Central_1346,2005,1066.64
1345,ZAF_Western_Cape_1345,2010,6975.41
421,ZAF_South_Africa_Lesotho_Swaziland_421,2010,7508.78
422,ZAF_South_Africa_Kruger_National_Park_422,2010,7508.78
420,ZAF_South_Africa_420,2010,7508.79
411,ZAF_Schappen_411,,uninhabited
371,ZAF_Robben_371,,7508.78
1344,ZAF_Prince_Edward_Island_Group_1344,,uninhabited
1342,ZAF_Northern_Cape_1342,2010,6975.41
1343,ZAF_North_West_1343,2010,8659.27
1341,ZAF_Mpumalanga_1341,2010,8659.27
280,ZAF_Meeu_280,,uninhabited
1340,ZAF_Marion_Island_1340,2010,8659.27
274,ZAF_Marcus_274,,7508.78
1339,ZAF_Limpopo_1339,2010,8659.27
1338,ZAF_KwaZulu_Natal_1338,2010,5835.86
212,ZAF_Jutten_212,,7508.78
1337,ZAF_Gauteng_1337,2010,8659.27
1336,ZAF_Free_State_1336,2010,6721.00
1335,ZAF_Eastern_Cape_1335,2010,6975.41
111,ZAF_Dassen_111,,uninhabited
69,ZAF_Cape_Region_69,2010,6975.41
1334,YEM_Yemen_1334,2010,1357.80
418,YEM_Socotra_Island_418,2010,1357.80
384,WSM_Samoa_384,2010,3530.60
1333,WSM_Nuutele_1333,,uninhabited
1332,WSM_Nuulua_1332,,uninhabited
1331,WSM_Namua_1331,,uninhabited
1330,WSM_Fanuatapu_1330,,uninhabited
481,VUT_Vanuatu_481,2010,2965.80
486,VNM_Vietnam_486,2008,2429.56
1324,VEN_Venezuela_1324,1990,8124.90
1322,VCT_The_Grenadines_1322,2010,6233.00
430,VCT_St_Vincent_and_The_Grenadines_430,2010,6233.00
1323,VCT_Saint_Vincent_1323,2010,6233.00
479,UZB_Uzbekistan_479,2005,1906.57
1321,USA_Wyoming_1321,2010,46581.00
1319,USA_Wisconsin_1319,2010,39602.00
1320,USA_West_Virginia_1320,2010,33196.00
1275,USA_Washington_DC_1275,2010,73257.33
1318,USA_Washington_1318,2010,44123.00
1315,USA_Virginia_1315,2010,45862.00
1316,USA_Virgin_Island_1316,2010,41376.00
485,USA_Vieques_485,2010,26435.70
1317,USA_Vermont_1317,2010,41580.00
1314,USA_Utah_1314,2010,33688.00
476,USA_USA_476,2010,41376.00
541,USA_Tutuila_541,2010,41376.00
1006,USA_Tinian_1006,2010,41376.00
1313,USA_Texas_1313,2010,39107.00
1312,USA_Tennessee_1312,2010,36179.00
540,USA_Tau_540,2010,41376.00
539,USA_Swains_539,2010,41376.00
435,USA_St_Thomas_435,2010,41376.00
433,USA_St_John_433,2010,41376.00
431,USA_St_Croix_431,2010,41376.00
1311,USA_South_Dakota_1311,2010,40943.00
1310,USA_South_Carolina_1310,2010,33631.00
1004,USA_Sarigan_1004,,uninhabited
400,USA_Santa_Rosa_400,,uninhabited
395,USA_Santa_Cruz_395,2010,44046.00
393,USA_Santa_Catalina_393,2010,44046.00
391,USA_Santa_Barbara_391,,uninhabited
390,USA_San_Nicolas_390,,uninhabited
389,USA_San_Miguel_389,,uninhabited
388,USA_San_Juan_Islands_388,2010,44123.00
385,USA_San_Clemente_385,,uninhabited
1005,USA_Saipan_1005,2010,41376.00
1003,USA_Rota_1003,2010,41376.00
372,USA_Robins_Island_372,,
1309,USA_Rhode_Island_1309,2010,43508.00
1071,USA_Puerto_Rico_1071,2010,26435.70
1308,USA_Pennsylvania_1308,2010,42067.00
356,USA_Pearl_and_Hermes_356,,uninhabited
1002,USA_Pagan_1002,,uninhabited
1307,USA_Oregon_1307,2010,37625.00
538,USA_Olosega_538,2010,41376.00
1306,USA_Oklahoma_1306,2010,36664.00
1305,USA_Ohio_1305,2010,37465.00
537,USA_Ofu_537,2010,41376.00
321,USA_Oahu_321,2010,43047.00
318,USA_Northern_Mariana_Islands_318,,13600.00
1297,USA_North_Dakota_1297,2010,44435.00
