OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id
"2",33.8351880504,66.0067419722,641083.81833,"47","908",AFG,Afghanistan,"0",AFG-OO,Afghanistan,AFG,"34","3",Asia-Temperate,AFG,Afghanistan,"1","1","2326"
"5",52.611113761,82.6218514754,170808.155974,"222","643",RUS.SIB.AK,Altay,"0",ALT-OO,Altay,ALT,"30","3",Asia-Temperate,RUS,Russian Federation (the),"2","1","2379"
"17",-55.1467207476,-68.6306921128,9039.16178594,"9","201",CHL.AC,AntΓ‘rtica Chilena,"0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"2","0","45"
"26",40.2862000454,44.9473935647,29669.4907073,"400","909",ARM,Armenia,"0",TCS-AR,Armenia,TCS,"33","3",Asia-Temperate,ARM,Armenia,"2","2","2325"
"32",-7.94351256894,-14.3670313752,99.3572999942,"158","664",SHN.AC,Ascension Island,"1",ASC-OO,Ascension,ASC,"28","2",Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha","2","2","50"
"34",-27.3685402993,-69.9016201753,77960.0851663,"1","1222",CHL.RAT,"RegiΓ³n de Atacama, Chile","0",CLN-AT,Atacama,CLN,"85","8",Southern America,CHL,Chile,"1","2","2385"
"36",-46.2939080349,-73.3534143889,75989.6714513,"4","1230",CHL.RAI,"RegiΓ³n AisΓ©n del General Carlos IbΓ‘Γ±ez del Campo, Chile","0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385"
"40",23.8743078098,90.2598330697,135413.85705,"65","922",BGD,Bangladesh,"0",BAN-OO,Bangladesh,BAN,"40","4",Asia-Tropical,BGD,Bangladesh,"1","2","2368"
"44",-37.1792511626,-72.2668674508,35967.1880203,"10","1227",CHL.RBI,"RegiΓ³n del BΓ­o BΓ­o, Chile","0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385"
"60",47.5602174278,16.5395546493,3940.52946059,"166","910",AUT.BUR,Burgenland,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria,"3","2","2376"
"83",-33.1401967642,-70.7879093186,1855.14172231,"23","209",CHL.CB,Chacabuco,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45"
"84",49.3268600551,-2.2912801596,213.607523094,"449","415",JEY_GGY,Channel Islands,"1",FRA-CI,Channel Is.,FRA,"12","1",Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the),"1","2","116"
"91",-12.1635968872,96.873308684,20.607283165,"56","198",CCK.MA,Cocos (Keeling) Main Atoll,"1",CKI-OO,Cocos (Keeling) Is.,CKI,"42","4",Asia-Tropical,CCK,Cocos (Keeling) Islands (the),"2","2","122"
"100",-30.6245820104,-70.8870213261,39560.649242,"7","1223",CHL.RCO,"RegiΓ³n de Coquimbo, Chile","0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385"
"102",39.6991045205,-31.1052231489,17.1153039779,"366","992",PRT.AZO.COR,Corvo,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"124",-27.1205073284,-109.356493613,168.13181343,"2","1252",CHL.EAS,"Easter Island, Chile","1",EAS-OO,Easter Is.,EAS,"61","6",Pacific,CHL,Chile,"1","2","2385"
"129",1.69399772861,10.3605115675,26574.9055028,"341","356",GNQ,Equatorial Guinea,"0",EQG-OO,Equatorial Guinea,EQG,"23","2",Africa,GNQ,Equatorial Guinea,"1","2","139"
"130",-1.37839895469,-89.6787036292,64.1142317907,"10","971",ECU.GAL.ESP,EspaΓ±ola,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"132",38.5782174948,-28.7013323675,173.090853442,"911","990",PRT.AZO.FAI,Faial,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"138",-0.38573445823,-91.5129368405,649.105927898,"6","972",ECU.GAL.FER,Fernandina,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"145",-1.29360294796,-90.4352912912,178.028983683,"124","973",ECU.GAL.FLO,Floreana,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"146",39.4419501885,-31.2024897483,140.982426384,"621","991",PRT.AZO.FLO,Flores,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"151",23.8497920751,-166.2621009,0.25048569727,"24","747",USA.HI.FFS,French Frigate Shoals,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"154",13.4327478368,-15.4881354474,9933.26468519,"11","994",GAM,Gambia,"0",GAM-OO,"Gambia, The",GAM,"22","2",Africa,GMB,Gambia (the),"1","2","139"
