OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
"2",33.83518805040,66.00674197220,641083.81833000004,"47","908",AFG,Afghanistan,"0",AFG-OO,Afghanistan,AFG,"34","3",Asia-Temperate,AFG,Afghanistan
"5",52.61111376100,82.62185147540,170808.15597399999,"222","643",RUS.SIB.AK,Altay,"0",ALT-OO,Altay,ALT,"30","3",Asia-Temperate,RUS,Russian Federation (the)
"17",-55.14672074760,-68.63069211280,9039.16178594000,"9","201",CHL.AC,Antártica Chilena,"0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile
"26",40.28620004540,44.94739356470,29669.49070730000,"400","909",ARM,Armenia,"0",TCS-AR,Armenia,TCS,"33","3",Asia-Temperate,ARM,Armenia
"32",-7.94351256894,-14.36703137520,99.35729999420,"158","664",SHN.AC,Ascension Island,"1",ASC-OO,Ascension,ASC,"28","2",Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha"
"34",-27.36854029930,-69.90162017530,77960.08516630001,"1","1222",CHL.RAT,"Región de Atacama, Chile","0",CLN-AT,Atacama,CLN,"85","8",Southern America,CHL,Chile
"36",-46.29390803490,-73.35341438890,75989.67145130000,"4","1230",CHL.RAI,"Región Aisén del General Carlos Ibáñez del Campo, Chile","0",CLS-AI,Ais‚n,CLS,"85","8",Southern America,CHL,Chile
"40",23.87430780980,90.25983306970,135413.85704999999,"65","922",BGD,Bangladesh,"0",BAN-OO,Bangladesh,BAN,"40","4",Asia-Tropical,BGD,Bangladesh
"44",-37.17925116260,-72.26686745080,35967.18802030000,"10","1227",CHL.RBI,"Región del Bío Bío, Chile","0",CLC-BI,Biob¡o,CLC,"85","8",Southern America,CHL,Chile
"60",47.56021742780,16.53955464930,3940.52946059000,"166","910",AUT.BUR,Burgenland,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria
"83",-33.14019676420,-70.78790931860,1855.14172231000,"23","209",CHL.CB,Chacabuco,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile
"84",49.32686005510,-2.29128015960,213.60752309400,"449","415",JEY_GGY,Channel Islands,"1",FRA-CI,Channel Is.,FRA,"12","1",Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the)
"91",-12.16359688720,96.87330868400,20.60728316500,"56","198",CCK.MA,Cocos (Keeling) Main Atoll,"1",CKI-OO,Cocos (Keeling) Is.,CKI,"42","4",Asia-Tropical,CCK,Cocos (Keeling) Islands (the)
"100",-30.62458201040,-70.88702132610,39560.64924200000,"7","1223",CHL.RCO,"Región de Coquimbo, Chile","0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile
"102",39.69910452050,-31.10522314890,17.11530397790,"366","992",PRT.AZO.COR,Corvo,"1",AZO-OO,A‡“res,AZO,"21","2",Africa,PRT,Portugal
