OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
32,-7.943512569,-14.36703138,99.35729999,158,664,SHN.AC,Ascension Island,1,ASC-OO,Ascension,ASC,28,2,Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha"
102,39.69910452,-31.10522315,17.11530398,366,992,PRT.AZO.COR,Corvo,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
129,1.693997729,10.36051157,26574.9055,341,356,GNQ,Equatorial Guinea,0,EQG-OO,Equatorial Guinea,EQG,23,2,Africa,GNQ,Equatorial Guinea
132,38.57821749,-28.70133237,173.0908534,911,990,PRT.AZO.FAI,Faial,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
146,39.44195019,-31.20248975,140.9824264,621,991,PRT.AZO.FLO,Flores,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
154,13.43274784,-15.48813545,9933.264685,11,994,GAM,Gambia,0,GAM-OO,"Gambia, The",GAM,22,2,Africa,GMB,Gambia (the)
160,39.05229371,-28.01132729,60.6915248,608,987,PRT.AZO.GRA,Graciosa,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
243,-21.12166153,55.53818069,2642.079793,760,925,FRA.REU,Reunion,1,REU-OO,Rβunion,REU,29,2,Africa,REU,Rβunion
796,7.631309845,-5.564109592,319718.5873,306,287,CIV,Cote d'Ivoire,0,IVO-OO,Ivory Coast,IVO,22,2,Africa,CIV,Cβte d'Ivoire
797,5.691170315,12.75525968,464396.4884,362,288,CMR,Cameroon,0,CMN-OO,Cameroon,CMN,23,2,Africa,CMR,Cameroon
798,-2.878135526,23.65422435,2326430.62,681,289,COD,Democratic Republic of the Congo,0,ZAI-OO,Zaire,ZAI,23,2,Africa,COD,Congo (the Democratic Republic of the)
799,-0.831687889,15.22722974,343925.1584,67,290,COG,Congo,0,CON-OO,Congo,CON,23,2,Africa,COG,Congo (the)
359,38.46947296,-28.33357296,444.9741581,702,989,PRT.AZO.PIC,Pico,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
373,-19.71632435,63.42346735,98.14652473,289,1233,MUS.RO,Rodrigues (Mauritius),1,ROD-OO,Rodrigues,ROD,29,2,Africa,MUS,Mauritius
399,36.9713337,-25.09982292,96.8918334,865,984,PRT.AZO.MAR,Santa Maria,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
405,38.63723431,-28.02923616,243.7807046,614,988,PRT.AZO.JOR,SΓ£o Jorge,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
406,37.79540002,-25.48189124,744.7214882,915,985,PRT.AZO.MIG,SΓ£o Miguel,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
432,-15.95940566,-5.708493692,168.1280078,252,668,SHN.SH,St Helena,1,STH-OO,St.Helena,STH,28,2,Africa,SHN,"Saint Helena, Ascension and Tristan da Cunha"
453,38.72390111,-27.21229994,400.5620275,827,986,PRT.AZO.TER,Terceira,1,AZO-OO,Azores,AZO,21,2,Africa,PRT,Portugal
495,22.24592773,4.780677152,6832540.62,1,993,ESH,Western Sahara,0,WSA-OO,Western Sahara,WSA,20,2,Africa,ESH,Western Sahara*
509,-12.29947712,17.53796482,1248577.789,364,2,AGO,Angola,0,ANG-OO,Angola,ANG,26,2,Africa,AGO,Angola
643,-3.340337928,29.90175456,26979.6162,272,138,BDI,Burundi,0,BUR-OO,Burundi,BUR,23,2,Africa,BDI,Burundi
645,9.632194953,2.338320551,118026.7764,440,140,BEN,Benin,0,BEN-OO,Benin,BEN,22,2,Africa,BEN,Benin
649,12.26478642,-1.747824699,272979.859,234,144,BFA,Burkina Faso,0,BKN-OO,Burkina,BKN,22,2,Africa,BFA,Burkina Faso
692,-22.18123831,23.80660437,578232.1426,442,181,BWA,Botswana,0,BOT-OO,Botswana,BOT,27,2,Africa,BWA,Botswana
693,6.571662845,20.49211972,617326.7234,61,182,CAF,Central African Republic,0,CAF-OO,Central African Republic,CAF,23,2,Africa,CAF,Central African Republic (the)
719,15.3421246,18.66713613,1271745.012,199,725,TCD,Chad,0,CHA-OO,Chad,CHA,24,2,Africa,TCD,Chad
816,-11.89275598,43.67592223,1716.245819,3,307,COM,Comoros,1,COM-CO,Comoros,COM,29,2,Africa,COM,Comoros (the)
817,15.93614024,-23.96723977,3883.142708,84,308,CPV,Cape Verde,1,CVI-OO,Cape Verde,CVI,21,2,Africa,CPV,Cabo Verde
830,28.16180159,2.626614643,2315003.175,227,321,DZA,Algeria,0,ALG-OO,Algeria,ALG,20,2,Africa,DZA,Algeria
833,26.50386465,29.86695425,997022.2676,220,324,EGY,Egypt,0,EGY-OO,Egypt,EGY,20,2,Africa,EGY,Egypt
834,15.34407533,38.83732758,119576.2812,70,325,ERI,Eritrea,0,ERI-OO,Eritrea,ERI,24,2,Africa,ERI,Eritrea
837,28.33662515,-15.67404721,7555.959923,409,327,ESP.CI,Canary Islands,1,CNY-OO,Canary Is.,CNY,21,2,Africa,ESP,Spain
839,8.618623185,39.62778382,1129403.897,697,330,ETH,Ethiopia,0,ETH-OO,Ethiopia,ETH,24,2,Africa,ETH,Ethiopia
852,-0.597506774,11.79304392,261815.2725,114,343,GAB,Gabon,0,GAB-OO,Gabon,GAB,23,2,Africa,GAB,Gabon
853,-7.339329103,72.43426346,37.31779765,133,344,GBR.DG,Diego Garcia,1,CGS-OO,Chagos Archipelago,CGS,29,2,Africa,IOT,British Indian Ocean Territory (the)
859,7.933216383,-1.215947945,239300.8059,507,350,GHA,Ghana,0,GHA-OO,Ghana,GHA,22,2,Africa,GHA,Ghana
860,10.43018566,-10.92749833,244529.0058,93,351,GIN,Guinea,0,GUI-OO,Guinea,GUI,22,2,Africa,GIN,Guinea
862,12.15600986,-14.34732698,15015.871,27,353,GNB.EA,GNB_East,0,GNB-OO,Guinea-Bissau,GNB,22,2,Africa,GNB,Guinea-Bissau
863,12.22104996,-15.63729002,11226.30479,40,354,GNB.NO,GNB_North,0,GNB-OO,Guinea-Bissau,GNB,22,2,Africa,GNB,Guinea-Bissau
