OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id
"2",33.8351880504,66.0067419722,641083.81833,"47","908",AFG,Afghanistan,"0",AFG-OO,Afghanistan,AFG,"34","3",Asia-Temperate,AFG,Afghanistan,"1","1","2326"
"5",52.611113761,82.6218514754,170808.155974,"222","643",RUS.SIB.AK,Altay,"0",ALT-OO,Altay,ALT,"30","3",Asia-Temperate,RUS,Russian Federation (the),"2","1","2379"
"26",40.2862000454,44.9473935647,29669.4907073,"400","909",ARM,Armenia,"0",TCS-AR,Armenia,TCS,"33","3",Asia-Temperate,ARM,Armenia,"2","2","2325"
"198",32.7377358827,54.2001563318,1679310.40686,"35","900",IRN,Iran (Islamic Republic of),"0",IRN-OO,Iran,IRN,"34","3",Asia-Temperate,IRN,Iran (Islamic Republic of),"1","2","2328"
"778",30.9733163181,112.261267968,185933.990751,"294","269",CHN.42,Hubei,"0",CHC-HU,Hubei,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"779",27.6161309874,111.702277198,211019.227831,"296","270",CHN.43,Hunan,"0",CHS-HN,Hunan,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"780",23.3517470466,113.411891985,176103.829334,"548","271",CHN.44,Guangdong,"0",CHS-GD,Guangdong,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"781",23.8313620577,108.785483206,236481.946338,"430","272",CHN.45,Guangxi,"0",CHS-GX,Guangxi,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"782",19.2005045674,109.74159077,33998.7685495,"315","273",CHN.46,Hainan,"1",CHH-OO,Hainan,CHH,"36","3",Asia-Temperate,CHN,China,"2","2","2408"
"783",30.072171478,107.876089303,81807.5702046,"108","274",CHN.50,Chongqing,"0",CHC-CQ,Chongqing,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"784",30.511498783,103.481974233,562857.509709,"374","275",CHN.51,Sichuan,"0",CHC-SC,Sichuan,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"785",26.8088050278,106.871180158,175981.130917,"342","276",CHN.52,Guizhou,"0",CHC-GZ,Guizhou,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"786",24.9767257664,101.487418014,383166.869157,"580","277",CHN.53,Yunnan,"0",CHC-YN,Yunnan,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"787",44.0625552714,113.856252045,1150969.24249,"200","278",CHN.55,Nei Mongol,"0",CHI-NM,Nei Mongol,CHI,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"788",35.157690735,108.861296379,203508.672478,"242","279",CHN.61,Shaanxi,"0",CHN-SA,Shaanxi,CHN,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"789",37.7373652778,101.222971424,380492.256678,"211","280",CHN.62,Gansu,"0",CHN-GS,Gansu,CHN,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"790",35.7733596777,96.0468299172,734170.01465,"163","281",CHN.63,Qinghai,"0",CHQ-OO,Qinghai,CHQ,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"791",37.2733119834,106.153743861,51931.7426219,"142","282",CHN.64,Ningxia Hui,"0",CHI-NX,Ningxia,CHI,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"792",22.4109947506,114.178725437,1011.4078464,"247","283",CHN.91,Hongkong,"0",CHS-HK,Hong Kong,CHS,"36","3",Asia-Temperate,HKG,Hong Kong,"1","2","2333"
"793",22.1984975143,113.545744678,8.71512212737,"118","284",CHN.92,Macau,"0",CHS-MA,Macau,CHS,"36","3",Asia-Temperate,MAC,Macao,"1","2","2333"
"794",41.1231764368,85.2510203132,1631798.97157,"221","285",CHN.SIN,Xinjiang Uygur,"0",CHX-OO,Xinjiang,CHX,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"795",31.7120921621,88.118532367,1133869.6318,"210","286",CHN.TIB,Xizang,"0",CHT-OO,Tibet,CHT,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"264",62.7093974813,153.985854068,463345.760796,"231","639",RUS.MAG,Magadan region,"0",MAG-OO,Magadan,MAG,"31","3",Asia-Temperate,RUS,Russian Federation (the),"2","2","79"
"290",46.8279817639,103.075262432,1561385.77563,"26","902",MNG,Mongolia,"0",MON-OO,Mongolia,MON,"37","3",Asia-Temperate,MNG,Mongolia,"1","2","2380"
"329",20.615533265,56.1153939454,309610.343851,"47","528",OMN,Oman,"0",OMA-OO,Oman,OMA,"35","3",Asia-Temperate,OMN,Oman,"2","2","2338"
"471",23.9245074859,54.3454124383,67901.7089323,"8","920",ARE,United Arab Emirates,"0",GST-UA,United Arab Emirates,GST,"35","3",Asia-Temperate,ARE,United Arab Emirates (the),"1","2","2356"
