OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id,tnorm
"40",23.8743078098,90.2598330697,135413.85705,"65","922",BGD,Bangladesh,"0",BAN-OO,Bangladesh,BAN,"40","4",Asia-Tropical,BGD,Bangladesh,"1","2","2368",0.048
"91",-12.1635968872,96.873308684,20.607283165,"56","198",CCK.MA,Cocos (Keeling) Main Atoll,"1",CKI-OO,Cocos (Keeling) Is.,CKI,"42","4",Asia-Tropical,CCK,Cocos (Keeling) Islands (the),"2","2","122",271.749
"353",-6.46720713245,145.179718819,456691.858375,"125","921",PNG,Papua New Guinea,"1",000-34,Papua New Guinea,"29","43","4",Asia-Tropical,PNG,Papua New Guinea,"2","2","2360",0.027
"709",-11.832575625,96.8241222648,3.35891405113,"12","199",CCK.NKI,Cocos (Keeling) North Keeling Island,"1",CKI-OO,Cocos (Keeling) Is.,CKI,"42","4",Asia-Tropical,CCK,Cocos (Keeling) Islands (the),"2","2","122",357.258
"821",-10.485344073,105.636553044,139.609934491,"176","312",CXR,Christmas Island,"1",XMS-OO,Christmas I.,XMS,"42","4",Asia-Tropical,CXR,Christmas Island,"2","2","32",126.066
"877",-2.21665027366,117.25763828,1839025.0602,"513","368",IDN,Indonesia,"1",000-02,Indonesia,"2","42","4",Asia-Tropical,IDN,Indonesia,"2","2","109",0.028
"879",11.1513172375,92.9687572312,7219.12148186,"96","370",IND.AAN,Andaman and Nicobar,"1",000-03,Andaman and Nicobar,"3","41","4",Asia-Tropical,IND,India,"2","2","2415",1.33
"880",16.6054850048,79.5838711821,275155.643142,"228","371",IND.ANP,Andhra Pradesh,"0",IND-AP,Andhra Pradesh,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.083
"881",28.032933099,94.6628096187,81998.0934247,"137","372",IND.ARP,Arunachal Pradesh,"0",EHM-AP,Arunachal Pradesh,EHM,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.167
"882",26.3430083078,92.8311219614,79091.1419605,"152","373",IND.ASS,Assam,"0",ASS-AS,Assam,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.192
"883",25.6318339011,85.5950852422,97526.4004691,"144","374",IND.BIH,Bihar,"0",IND-BI,Bihar,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.148
"884",30.7260050548,76.7718066218,134.878350785,"127","375",IND.CHA,Chandigarh,"0",IND-CH,Chandigarh,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",94.159
"885",21.2192203723,82.0728978796,139988.693627,"121","376",IND.CHH,Chhattisgarh,"0",IND-CT,Chattisgarh,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.086
"886",28.6390544918,77.0983483151,1274.49397679,"142","377",IND.DEL,Delhi,"0",IND-DE,Delhi,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",11.142
"887",15.3580426376,74.0801634979,4187.1528343,"181","378",IND.GOA,Goa,"0",IND-GO,Goa,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",4.323
"888",22.7042499892,71.5555796833,185027.683695,"160","379",IND.GUJ,Gujarat,"0",IND-GU,Gujarat,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.086
"889",29.1922736186,76.3241273659,44082.6404968,"152","380",IND.HAR,Haryana,"0",IND-HA,Haryana,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.345
"890",31.9116846903,77.2517555837,55172.8664085,"556","381",IND.HIP,Himachal Pradesh,"0",WHM-HP,Himachal Pradesh,WHM,"40","4",Asia-Tropical,IND,India,"2","2","2415",1.008
"891",33.7532515782,76.6242686739,106213.819024,"192","382",IND.JAK,Jammu and Kashmir,"0",WHM-JK,Jammu-Kashmir,WHM,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.181
"892",23.6192915407,85.5885404138,75639.8828692,"117","383",IND.JHA,Jharkhand,"0",IND-JK,Jharkhand,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.155
"893",14.6868057854,76.1847709495,189305.076304,"271","384",IND.KAR,Karnataka,"0",IND-KT,Karnataka,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.143
"894",10.4681154402,76.4043079223,38568.6014511,"289","385",IND.KER,Kerala,"0",IND-KE,Kerala,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.749
"895",9.44684464827,72.9019697252,37.8541913341,"17","386",IND.LAK,Lakshadweep,"1",LDV-OO,Laccadive Is.,LDV,"40","4",Asia-Tropical,IND,India,"2","2","2415",44.909
"896",19.4506333911,76.1327073316,313051.217746,"282","387",IND.MAH,Maharashtra,"0",IND-MR,Maharashtra,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.09
"897",24.7249985564,93.8836105365,21738.2738422,"134","388",IND.MAN,Manipur,"0",ASS-MA,Manipur,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.616
"898",23.5450572657,78.2709862698,305277.766035,"151","389",IND.MAP,Madhya Pradesh,"0",IND-MP,Madhya Pradesh,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.049
"899",25.5351576232,91.2801058376,22508.78515,"149","390",IND.MEG,Meghalaya,"0",ASS-ME,Meghalaya,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.662
"900",23.2978684231,92.8309400686,20868.580018,"129","391",IND.MIZ,Mizoram,"0",ASS-MI,Mizoram,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.618
"901",26.0462689026,94.4498155169,16649.492877,"134","392",IND.NAG,Nagaland,"0",ASS-NA,Nagaland,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.805
"902",20.5664813538,84.5043074438,148980.50514,"198","393",IND.ODI,Orissa,"0",IND-OR,Orissa,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.133
"903",11.9696452836,79.9463478089,557.935325252,"134","394",IND.PUD,Puducherry,"0",000-09,Puducherry,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",24.017
"904",30.8467260525,75.4150617269,50989.2646197,"160","395",IND.PUN,Punjab,"0",IND-PU,Punjab,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.314
"905",26.5857465665,73.8491076901,341998.735987,"169","396",IND.RAJ,Rajasthan,"0",IND-RA,Rajasthan,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.049
"906",27.5632680663,88.4662806247,7259.68587234,"157","397",IND.SIK,Sikkim,"0",EHM-SI,Sikkim,EHM,"40","4",Asia-Tropical,IND,India,"2","2","2415",2.163
"907",11.0056406457,78.4045349981,130124.460765,"331","398",IND.TAN,Tamil Nadu,"0",IND-TN,Tamil Nadu,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.254
"908",23.7405158464,91.7350066515,10445.5335004,"127","399",IND.TRI,Tripura,"0",ASS-TR,Tripura,ASS,"40","4",Asia-Tropical,IND,India,"2","2","2415",1.216
"911",23.79838606,87.9916169434,85283.6182139,"192","402",IND.WBE,West Bengal,"0",IND-WB,West Bengal,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.225
"941",18.5016489199,103.758081867,230316.151427,"212","432",LAO,Lao People's Democratic Republic,"0",LAO-OO,Laos,LAO,"41","4",Asia-Tropical,LAO,Lao People's Democratic Republic (the),"1","1","88",0.092
"946",7.61591460669,80.7031628582,66291.2104545,"394","437",LKA,Sri Lanka,"1",SRL-OO,Sri Lanka,SRL,"40","4",Asia-Tropical,LKA,Sri Lanka,"2","2","110",0.594
"1033",28.2495811945,83.9345607036,148042.516206,"350","523",NPL,Nepal,"0",NEP-OO,Nepal,NEP,"40","4",Asia-Tropical,NPL,Nepal,"2","1","6",0.236
"1069",11.8142707162,122.89618345,279862.07204,"653","531",PHL,Philippines,"1",PHI-OO,Philippines,PHI,"42","4",Asia-Tropical,PHL,Philippines (the),"2","0","94",0.233
"1196",1.35659815167,103.820131243,673.696799675,"223","662",SGP,Singapore,"1",MLY-SI,Singapore,MLY,"42","4",Asia-Tropical,SGP,Singapore,"2","2","24",33.101
"1259",15.1137771025,101.011731758,513520.425109,"337","727",THA,Thailand,"0",THA-OO,Thailand,THA,"41","4",Asia-Tropical,THA,Thailand,"1","2","148",0.066
"1022",4.03953030241,102.171569326,131596.796191,"180","512",MYS.PEN,MYS_Peninsula,"0",MLY-PM,Peninsular Malaysia,MLY,"42","4",Asia-Tropical,MYS,Malaysia,"2","2","128",0.137
"909",30.1537804745,79.2133037865,53242.6897426,"181","400",IND.UTH,Uttaranchal,"0",WHM-UT,Uttaranchal,WHM,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.34
"910",26.9158806511,80.5672804789,241862.985592,"171","401",IND.UTP,Uttar Pradesh,"0",IND-UP,Uttar Pradesh,IND,"40","4",Asia-Tropical,IND,India,"2","2","2415",0.071
"1400",3.37168093579,73.2521383766,140.457108653,"20","1001",MDV,Maldives,"1",MDV-OO,Maldives,MDV,"40","4",Asia-Tropical,MDV,Maldives,"1","2","139",14.239
