OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,tnorm,completeness,completeness_judge
"694",55.2010174997,-114.470172787,654934.756346,"365","183",CAN.AB,Alberta,"0",ABT-OO,Alberta,ABT,"71","7",Northern America,CAN,Canada,0.056,"3","0"
"695",55.028148276,-124.463583754,769353.692985,"1824","184",CAN.BC,British Columbia,"0",BRC-OO,British Columbia,BRC,"71","7",Northern America,CAN,Canada,0.237,"3","2"
"696",54.2841035911,-61.9625121817,286972.234777,"131","185",CAN.LB,Labrador,"0",LAB-OO,Labrador,LAB,"72","7",Northern America,CAN,Canada,0.046,"3","0"
"697",54.9263841395,-97.4301139356,650438.209112,"370","186",CAN.MB,Manitoba,"0",MAN-OO,Manitoba,MAN,"71","7",Northern America,CAN,Canada,0.057,"3","0"
"698",46.6288911717,-66.3717869215,72787.3429183,"607","187",CAN.NB,New Brunswick,"0",NBR-OO,New Brunswick,NBR,"72","7",Northern America,CAN,Canada,0.834,"3","0"
"700",45.1511900833,-63.303293454,55176.2096177,"684","189",CAN.NS,Nova Scotia,"0",NSC-OO,Nova Scotia,NSC,"72","7",Northern America,CAN,Canada,1.24,"3","0"
"701",66.3582940816,-118.995577116,1352704.85638,"120","190",CAN.NT,Northwest Territories,"0",NWT-OO,Northwest Territories,NWT,"70","7",Northern America,CAN,Canada,0.009,"3","0"
"702",68.7815267671,-92.4728539485,1740317.47616,"14","191",CAN.NU,Nunavut,"0",NUN-OO,Nunavut,NUN,"70","7",Northern America,CAN,Canada,0.001,"3","0"
"703",50.0670785941,-85.8289180897,1077573.08711,"1153","192",CAN.ON,Ontario,"0",ONT-OO,Ontario,ONT,"72","7",Northern America,CAN,Canada,0.107,"3","0"
"704",46.396226687,-63.2446040328,5974.82960227,"423","193",CAN.PE,Prince Edward Island,"1",PEI-OO,Prince Edward I.,PEI,"72","7",Northern America,CAN,Canada,7.08,"3","0"
"705",53.3810449242,-71.7561883499,1513005.96616,"907","194",CAN.QU,Québec,"0",QUE-OO,Québec,QUE,"72","7",Northern America,CAN,Canada,0.06,"3","0"
"706",43.9453784438,-59.9068226564,31.7877683019,"79","195",CAN.SI,Sable Island,"1",NSC-OO,Nova Scotia,NSC,"72","7",Northern America,CAN,Canada,248.523,"3","2"
"707",54.4190196357,-105.890056292,651955.254697,"384","196",CAN.SK,Saskatchewan,"0",SAS-OO,Saskatchewan,SAS,"71","7",Northern America,CAN,Canada,0.059,"3","0"
"708",63.7458924934,-135.35680717,464753.845753,"164","197",CAN.YT,Yukon,"0",YUK-OO,Yukon,YUK,"70","7",Northern America,CAN,Canada,0.035,"3","0"
"867",76.1822127934,-43.6665544088,248822.580367,"146","359",GRL,Greenland,"1",GNL-OO,Greenland,GNL,"70","7",Northern America,GRL,Greenland,0.059,"3","0"
"954",22.010787177,-102.36249261,5594.61598074,"174","445",MEX.AGU,Aguascalientes,"0",MXE-AG,Aguascalientes,MXE,"79","7",Northern America,MEX,Mexico,3.11,"2","2"
