OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id,tnorm
"17",-55.1467207476,-68.6306921128,9039.16178594,"9","201",CHL.AC,AntΓ‘rtica Chilena,"0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.100
"34",-27.3685402993,-69.9016201753,77960.0851663,"1","1222",CHL.RAT,"RegiΓ³n de Atacama, Chile","0",CLN-AT,Atacama,CLN,"85","8",Southern America,CHL,Chile,"1","2","2385",0.001
"36",-46.2939080349,-73.3534143889,75989.6714513,"4","1230",CHL.RAI,"RegiΓ³n AisΓ©n del General Carlos IbΓ‘Γ±ez del Campo, Chile","0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385",0.005
"44",-37.1792511626,-72.2668674508,35967.1880203,"10","1227",CHL.RBI,"RegiΓ³n del BΓ­o BΓ­o, Chile","0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.028
"83",-33.1401967642,-70.7879093186,1855.14172231,"23","209",CHL.CB,Chacabuco,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.240
"100",-30.6245820104,-70.8870213261,39560.649242,"7","1223",CHL.RCO,"RegiΓ³n de Coquimbo, Chile","0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.018
"130",-1.37839895469,-89.6787036292,64.1142317907,"10","971",ECU.GAL.ESP,EspaΓ±ola,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",15.597
"138",-0.38573445823,-91.5129368405,649.105927898,"6","972",ECU.GAL.FER,Fernandina,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",0.924
"145",-1.29360294796,-90.4352912912,178.028983683,"124","973",ECU.GAL.FLO,Floreana,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",69.652
"158",0.32522902443,-89.9567609797,15.3831596921,"1","974",ECU.GAL.GEN,Genovesa,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",6.501
"202",-0.55929258786,-91.1843439533,4726.573482,"164","975",ECU.GAL.ISA,Isabela,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",3.470
"211",-33.70984557,-79.8560274418,109.512821144,"5","1234",CHL.JNF,Juan Fernandez Islands,"1",JNF-OO,Juan FernΒ ndez Is.,JNF,"85","8",Southern America,CHL,Chile,"1","2","2385",4.566
"254",-34.4432912063,-71.0480257528,15857.7792917,"5","1225",CHL.RLI,"RegiΓ³n del Libertador General Bernardo O'Higgins, Chile","0",CLC-OH,O'Higgins,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.032
"261",-41.3205439501,-72.871548169,60912.8375617,"9","1229",CHL.RLL,"RegiΓ³n de Los Lagos, Chile","0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385",0.015
"265",-52.6007905696,-71.6985610155,102367.748986,"7","1231",CHL.RMG,"RegiΓ³n de Magallanes y de la AntΓ‘rtica Chilena, Chile","0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385",0.007
"278",-35.5761517328,-71.4165191586,29065.7122772,"7","1226",CHL.RMU,"RegiΓ³n del Maule, Chile","0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.024
"354",-23.2341752743,-58.3894953233,400345.583136,"176","919",PRY,Paraguay,"0",PAR-OO,Paraguay,PAR,"85","8",Southern America,PRY,Paraguay,"2","2","2330",0.044
"361",0.58684476502,-90.7570247691,60.3307837305,"8","977",ECU.GAL.PNT,Pinta,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",13.260
"362",-0.61081051893,-90.6657908732,18.0691753134,"3","978",ECU.GAL.PNZ,PinzΓ³n,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",16.603
"386",-0.8267980169,-89.4305601114,559.977663651,"196","979",ECU.GAL.CRI,San CristΓ³bal,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",35.001
"396",-0.62724753263,-90.3584055979,987.094157507,"228","980",ECU.GAL.CRU,Santa Cruz,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"1","2","2385",23.098
"397",-0.8184286674,-90.0587735666,25.1516016879,"1","981",ECU.GAL.SFE,Santa FΓ©,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",3.976
"401",-33.6112447808,-70.6438395192,15824.3582004,"9","1232",CHL.RSA,"RegiΓ³n Metropolitana de Santiago, Chile","0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.057
"403",-0.26624540728,-90.7125462493,577.099751153,"40","982",ECU.GAL.SAN,Santiago,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52",6.931
"431",17.7328595919,-64.7684563079,219.681367592,"3","1303",USA.VI.STC,St. Croix (Virgin Islands),"1",LEE-VI,Virgin Is.,LEE,"81","8",Southern America,VIR,Virgin Islands (U.S.),"2","2","101",1.366
"433",18.3383534594,-64.7367581147,52.0734160954,"2","1302",USA.VI.STJ,St. John (Virgin Islands),"1",LEE-VI,Virgin Is.,LEE,"81","8",Southern America,VIR,Virgin Islands (U.S.),"2","2","101",3.841
"435",18.3435284256,-64.9286941704,76.2068100752,"3","1301",USA.VI.STT,St. Thomas (Virgin Islands),"1",LEE-VI,Virgin Is.,LEE,"81","8",Southern America,VIR,Virgin Islands (U.S.),"2","2","101",3.937
"451",-19.7028877025,-69.4790073211,57071.9631294,"2","1220",CHL.RTA,"RegiΓ³n de TarapacΓ‘ and Arica and Parinacota, Chile","0",CLN-TA,Tarapaca,CLN,"85","8",Southern America,CHL,Chile,"1","2","2385",0.004
"480",-32.7932900825,-70.9779690415,16073.2921689,"12","1224",CHL.RVA,"RegiΓ³n de ValparaΓ­so, Chile","0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385",0.075
"506",17.2176675394,-88.6847669885,22093.3325088,"62","149",BLZ,Belize,"0",BLZ-OO,Belize,BLZ,"80","8",Southern America,BLZ,Belize,"2","2","60",0.281
"508",12.5156257974,-69.9756401303,199.567242351,"32","1",ABW,Aruba,"1",ARU-OO,Aruba,ARU,"81","8",Southern America,ABW,Aruba,"2","1","130",16.035
"510",18.2147363201,-63.0543983672,74.9280184692,"70","3",AIA,Anguilla,"1",LEE-AG,Anguilla,LEE,"81","8",Southern America,AIA,Anguilla,"2","1","1",93.423
"512",-36.6789876974,-60.5585125697,306120.746779,"466","5",ARG.BA,Buenos Aires,"0",AGE-BA,Buenos Aires,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.152
"513",-27.2855741844,-66.9958949743,99181.1145277,"96","6",ARG.CA,Catamarca,"0",AGW-CA,Catamarca,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.097
"514",-26.3975795398,-60.7590122535,99216.2211416,"70","7",ARG.CHA,Chaco,"0",AGE-CH,Chaco,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.071
"515",-43.7985073064,-68.491417015,221723.657423,"177","8",ARG.CHU,Chubut,"0",AGS-CB,Chubut,AGS,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.080
"516",-32.0951515807,-63.7714081503,167757.100382,"214","9",ARG.CO,CΓ³rdoba,"0",AGE-CD,CΒ’rdoba,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.128
"517",-28.7646900198,-57.7920314202,88605.6193095,"109","10",ARG.COR,Corrientes,"0",AGE-CN,Corrientes,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.123
"518",-34.6179053893,-58.45074934,178.283718287,"118","11",ARG.DF,Ciudad de Buenos Aires,"0",AGE-DF,Argentina Distrito Federal,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",66.187
"519",-32.0436570051,-59.203674794,78050.9279929,"215","12",ARG.ER,Entre RΓ­os,"0",AGE-ER,Entre RΒ‘os,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.275
"520",-24.9018032693,-59.931291572,76146.2297757,"49","13",ARG.FO,Formosa,"0",AGE-FO,Formosa,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.064
"521",-23.310865581,-65.7673049282,53048.8779094,"115","14",ARG.JU,Jujuy,"0",AGW-JU,Jujuy,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.217
"522",-37.1328710079,-65.445506681,142697.412623,"202","15",ARG.LP,La Pampa,"0",AGE-LP,La Pampa,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.142
"523",-29.6737729438,-67.1685423466,91671.7812262,"75","16",ARG.LR,La Rioja,"0",AGW-LR,La Rioja,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.082
"524",-34.5983291502,-68.6084088819,151240.493609,"207","17",ARG.ME,Mendoza,"0",AGW-ME,Mendoza,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.137
"525",-26.8673688784,-54.6481947994,30135.6674839,"90","18",ARG.MI,Misiones,"0",AGE-MI,Misiones,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.299
"526",-38.6403839561,-70.125154683,93570.5264995,"207","19",ARG.NE,NeuquΓ©n,"0",AGS-NE,Neuquβn,AGS,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.221
"527",-40.3997280559,-67.236884008,202999.232241,"246","20",ARG.RN,RΓ­o Negro,"0",AGS-RN,Rio Negro,AGS,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.121
"528",-24.2898012151,-64.8243212444,155920.926002,"145","21",ARG.SA,Salta,"0",AGW-SA,Salta,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.093
"529",-48.792658402,-69.8896361787,238778.420289,"143","22",ARG.SC,Santa Cruz,"0",AGS-SC,Santa Cruz,AGS,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.060
"530",-27.7268267333,-63.2936858529,135049.621546,"76","23",ARG.SE,Santiago del Estero,"0",AGW-SE,Santiago del Estero,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.056
