"ref_id","ref_type","reference"
1,4,"Acevedo-Rodríguez, P., and M. T. Strong. 2012. Catalogue of Seed Plants of the West Indies. Smithsonian Institution Scholarly Press, Smithsonian Contributions to Botany Volume 98. http://botany.si.edu/antilles/WestIndies/catalog.htm // https://repository.si.edu/handle/10088/17551. Downloaded on 1 March 2011."
2,3,"Adjakidjè, V., J. P. Essou, B. Sinsin, and H. Yédomonhan, editors. 2006. Flore Analytique du Bénin. Backhuys Publishers, Cotonou & Wageningen."
3,4,"African Plant Database. http://www.ville-ge.ch/musinfo/bd/cjb/africa/recherche.php. Conservatoire et Jardin botaniques de la Ville de Genève, South African National Biodiversity Institute, Tela Botanica and Missouri Botanical Garden. Downloaded on 17 May 2013."
4,3,"Al Khulaidi, A. W. A. 2013. Flora of Yemen."
5,2,"Alves, R. J. V. 1998. Ilha da Trindade & arquipélago Martin Vaz: um ensaio geobotânico. Serviço de Documentação da Marinha, Rio de Janeiro."
6,3,"Press, J. R., K. K. Shrestha, and D. A. Sutton. 2013. Annotated Checklist of the Flowering Plants of Nepal. The Natural History Museum, London. http://www.efloras.org/flora_page.aspx?flora_id=110. Downloaded on 24 April 2013."
7,2,"Craven, P., and H. Kolberg. 2012. Provisional List of Naturalised Alien Species in Namibia. http://herbaria.plants.ox.ac.uk/bol/namibia/Resources/Taxonomy // http://herbaria.plants.ox.ac.uk/bol/Content/Projects/namibia/Resources/naturalised.pdf. Downloaded on 24 December 2012."
8,2,"Antonova, L. A. 2009. Alien flora cadastre of Khabarovsk region (in Russian)."
9,3,"Baker, M. L., and M. F. de Salas. 2012. A Census of the Vascular Plants of Tasmania and Index to the Student’s Flora of Tasmania and Flora of Tasmania Online. Tasmanian Herbarium, Tasmanian Museum and Art Gallery."
10,1,"Barina, Z., M. Rakaj, G. Somogyi, Z. Erős-Honti, and D. Pifkó. 2014. The alien flora of Albania: history, current status and future trends. Weed Research 54:196-215."
14,4,"Kartesz, J. T., The Biota of North America Program (BONAP). 2015. North American Plant Atlas. Chapel Hill, N.C. http://www.bonap.net/napa. Downloaded on 21 December 2012."
15,3,"Borges, P. A. V., C. Abreu, A. M. F. Aguiar, P. Carvalho, R. Jardim, I. Melo, P. Oliveira, C. Sérgio, A. R. M. Serrano, and P. Vieira, editors. 2008. A list of the terrestrial fungi, flora and fauna of Madeira and Selvagens archipelagos. Direcção Regional do Ambiente da Madeira and Universidade dos Açores, Funchal and Angra do Heroísmo; Portugal."
19,4,"Burke Museum of Natural History and Culture. 2011. Russian Far East Flora Database. Seattle, WA. http://biology.burke.washington.edu/herbarium/okhotskia/search.php. Downloaded on 23 August 2012."
20,6,"Cardenas, D., N. Castaño, J. Cardenas, and M. P. Baptiste. 2013. pers. communication."
21,4,"Missouri Botanical Garden. 2013. Catalogue of the Vascular Plants of Bolivia. http://www.tropicos.org/Project/BC. Downloaded on 16 February 2013."
22,3,"Catarino, L., E. S. Martins, M. F. P. Basto, and M. A. Diniz. 2008. An Annotated Checklist of the Vascular Flora of Guinea-Bissau (West Africa). Blumea - Biodiversity, Evolution and Biogeography of Plants 53:1-222."
23,4,"State Herbarium of South Australia. 2012. eFloraSA: Electronic Flora of South Australia. http://www.flora.sa.gov.au/census.shtml. Downloaded on 18 December 2012."
24,3,"Chong, K. Y., H. T. W. Tan, and R. T. Corlett. 2009. A Checklist of the Total Vascular Plant Flora of Singapore: Native, Naturalised and Cultivated Species. Raffles Museum of Biodiversity Research and Department of Biological Sciences, Faculty of Science, National University of Singapore, Singapore."
25,2,"Howell, C. J., and J. W. D. Sawyer. 2006. New Zealand Naturalized Vascular Plant Checklist. New Zealand Plant Conservation Network, Wellington, New Zealand."
26,5,"CONABIO. 2016. Sistema de información sobre especies invasoras en México. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad. http://www.biodiversidad.gob.mx/invasoras. Downloaded on 16 January 2013."
27,3,"D'Arcy, W. G. 1971. The island of Anegada and its flora. Atoll Research Bulletin 139:1–21."
28,3,"da Silva, M. r. C., S. Izidine, and A. B. Amude. 2004. A preliminary checklist of the vascular plants of Mozambique. Southern African Botanical Diversity Network Report. SABONET, Pretoria, South Africa."
29,5,"DAISIE European Invasive Alien Species Gateway. http://www.europe-aliens.org/. Downloaded in 2014."
30,3,"de Lange, P. J., P. B. Heenan, and J. R. Rolfe. 2011. Checklist of vascular plants recorded from Chatham Islands. Department of Conservation, Wellington Hawke’s Bay Conservancy, Wellington."
31,1,"Delnatte, C., and J.-Y. Meyer. 2012. Plant introduction, naturalization, and invasion in French Guiana (South America). Biological Invasions 14:915-927."
32,4,"Du Puy, D. J. 1993. Christmas Island: Species lists. Flora of Australia Online: Oceanic Islands Excluding Norfolk and Lord Howe Islands."
34,1,"Ebel, A. L., T. O. Strelnikova, A. N. Kupriyanov, O. A. Anenkhonov, E. S. Ancipovich, E. M. Antipova, A. V. Verkhozina, A. N. Efremov, E. Y. Zykov, S. I. Mikhailova, N. V. Plikina, S. V. Ryabovol, M. M. Silantieva, N. V. Stepanov, T. A. Terekhina, O. D. Chernova, and D. N. Shaulo. 2014. Invasive and potentially invasive species of Siberia. Newsletter of Main Botanical Garden RAS. M.:1-88."
36,3,"Figueiredo, E., J. Paiva, T. Stévart, F. Oliveira, and G. F. Smith. 2011. Annotated catalogue of the flowering plants of São Tomé and Príncipe. Bothalia 41:41-82."
38,4,"Consejo Superior de Investigaciones Científicas, Real Jardín Botánico de Madrid. Flora de Guinea Ecuatorial. Madrid, Spain. http://www.floradeguinea.com. Downloaded on 9 May & 5 September 2015."
39,4,"Tropicos. 2013. Flora de Nicaragua. Missouri Botanical Garden, Missouri. http://www.tropicos.org/NameSearch.aspx?projectid=7. Downloaded on 16 February 2013."
40,4,"Florence, J., H. Chevillotte, C. Ollier, and J. Y. Meyer. 2007. Base de données botaniques Nadeaud de l'Herbier de la Polynésie française (PAP). Pape'ete, Tahiti, French Polynesia. original: http://www.herbier-tahiti.pf/ - now: https://inpn.mnhn.fr/espece/inventaire/I220. Downloaded on 1 July 2011."
41,3,"Fosberg, F. R., and M.-H. Sachet. 1987. Flora of Maupiti, Society Islands. Atoll Research Bulletin 294:1-70."
42,1,"Fosberg, F. R. 1949. Flora of Johnston Island, Central Pacific. Pacific Science 3:338–339."
43,1,"Franklin, J., G. Keppel, and W. A. Whistler. 2008. The vegetation and flora of Lakeba, Nayau and Aiwa islands, central Lau Group, Fiji. Micronesica 40:169–225."
44,1,"Frenot, Y., S. L. Chown, J. Whinam, P. M. Selkirk, P. Convey, M. Skotnicki, and D. M. Bergstrom. 2005. Biological invasions in the Antarctic: extent, impacts and implications. Biological Reviews 80:45-72."
